Gene Symbols,20-29,30-39,40-49,50-59,60-69,70-79
RP4-740C4.7,NA,0.218880380584105,0.32126793528035,0.39468486637002,0.3548057317519,0.324310572911367
RER1,NA,0.518277777777778,0.228966666666667,0.257083333333333,0.418564102564103,0.476875
PEX10,NA,0.66120218579235,0.429467551822246,0.411412594992056,0.490799700933829,0.575379352391275
PLCH2,NA,0.24020957410945,0.319541521519272,0.314750802483914,0.265863804921901,0.318532981233847
RP3-395M20.2,NA,0.380913334174341,0.286892897691434,0.260370445532879,0.340971945929685,0.348460956225558
RP3-395M20.3,NA,0.420662853790878,0.113154421469424,0.281961526935608,0.309062912450506,0.271850711247984
PANK4,NA,0.628879342270943,0.281919857788312,0.322713469035964,0.405252032612969,0.566995037404637
HES5,NA,0.168375325803649,0.164622067767159,0.256661504174064,0.153304818552429,0.381320590790617
RP3-395M20.12,NA,0.532709812943883,0.293267980394118,0.359938416307501,0.375500650195059,0.398219465839752
RP3-395M20.8,NA,0.301991727904269,0.2955266433763,0.247646084197992,0.269974701843151,0.633327309962655
TNFRSF14,NA,0.401469042217673,0.313683395119792,0.274632589089177,0.27071543185968,0.538999243807521
RP3-395M20.7,NA,0.215937809031975,0.222327216789364,0.260085887997656,0.279859356114713,0.616745412592023
RP3-395M20.9,NA,0.476940965186959,0.261392521643028,0.304890403389206,0.276890842625785,0.513849235586664
FAM213B,NA,0.528904482829529,0.215623072177668,0.286905783690511,0.27047809993831,0.51161834258688
MMEL1,NA,0.602386934673367,0.359719650886009,0.35628501358467,0.320804020100503,0.449748743718593
RP13-436F16.1,NA,0,0,0.116628073462606,0.0774316098057105,0
TTC34,NA,0.542094066907565,0.300641100361347,0.323951721433945,0.287926331740296,0.380784473714885
ABC14-1188822O7.1,NA,0.341711956521739,0.026268115942029,0.239465185885318,0.374651616499443,0.519361413043478
ACTRT2,NA,0.131266490765172,0.169393139841689,0.155416300205218,0.183887423043096,0.217018469656992
LINC00982,NA,0.427295878429858,0.309273271894211,0.33157494782744,0.214545721674191,0.250981077724317
PRDM16,NA,0.443495563747872,0.260865153718673,0.332138307347155,0.300634716632282,0.357983562755775
RP1-163G9.2,NA,0.307964184731385,0,0.16625005122321,0.123124048430363,0.0769321394910462
RP11-193J6.1,NA,0.495575933075933,0.3002574002574,0.276523417827766,0.260885885885886,0.337516087516087
