GeneA,GeneB
HSF1,GUCA2B
HSF1,HLA-G
HSF1,HOPX
HSF1,HSD17B6
HSF1,HSP90B2P
HSF1,HSPA1A
HSF1,HSPA1B
HSF1,HSPA4
HSF1,HSPA4
HSF1,IL1B
HSF1,JUN
HSF1,LDHA
HSF1,MAP3K14
HSF1,MICA
HSF1,MICB
HSF1,NAT1
HSF1,NFKB1
HSF1,POLK
HSF1,RELA
HSF1,SERPINE1
HSF1,SESN3
HSF1,STIP1
HSF1,TNF
HSF1,UBB
HSF4,DNASE2B
HSF4,DNASE2B
HSF4,HIF1A
HSF4,RAD51
ID1,ZNF148
ID2,SNAI1
ID2,TERT
ID3,TCF3
ID3,VEGFA
IKBKB,CD44
IKBKB,CXCL8
IKBKB,MMP9
IKBKB,NOS2
IKBKB,TP53
IKBKB,VCAM1
ILF2,ACRV1
ILF2,ILF3
ILF3,ACRV1
ILF3,BIRC5
ILF3,HLA-DQA1
ILF3,HLA-DRA
ILF3,HLA-DRA
ILF3,HLA-DRB1
ILF3,PLAU
ING4,ANGPT1
ING4,ARL6IP5
ING4,BAX
ING4,BCL2
ING4,CASP3
ING4,CCND1
ING4,CDKN1A
ING4,CDKN1B
ING4,CDKN1B
ING4,CXCL8
ING4,NGF
ING4,NTRK1
ING4,PTGS2
ING4,SKP2
ING4,SPP1
ING4,TP53
IRF2,CIITA
IRF2,CXCR4
IRF2,DST
IRF2,ERAP2
IRF2,IFNB1
IRF2,IFNB1
IRF2,IFNGR1
IRF2,IL4
IRF2,TAP1
IRF3,ABCC2
IRF3,CCL2
IRF3,CCL5
IRF3,CXCL10
IRF3,IFNB1
IRF3,IFNB1
IRF3,IFNL1
IRF3,IRF5
IRF3,IRF7
IRF3,MAVS
IRF3,PURA
IRF3,SOCS2
IRF3,TLR3
IRF3,TLR4
IRF3,TNPO1
IRF7,ATF4
IRF7,CCL5
IRF7,CD80
IRF7,CXCL10
IRF7,IFNB1
IRF7,IFNB1
IRF7,IFNB1
IRF7,IFNL1
IRF7,IFNL2
IRF7,IFNL3
IRF7,NR1H4
IRF8,CD68
IRF8,CFLAR
IRF8,CYBB
IRF8,GAS2
IRF8,IL10
IRF8,IL12A
IRF8,IL1B
IRF8,NCF2
IRF8,NF1
IRF8,TLR3
IRF8,TLR4
IRF9,CCND2
IRF9,CDKN1A
IRF9,CDKN1B
IRF9,IFIT3
IRF9,IL27
IRF9,NCAM1
IRF9,PML
IRF9,SP100
JARID2,MYH6
JARID2,MYL7
JARID2,NPPA
KAT5,ERCC1
KAT5,GMPS
KAT5,HDC
KAT5,STAT3
KAT6A,HOXA9
KDM2A,EREG
KDM2A,NANOG
KDM2A,SOX2
KDM4B,AR
KDM4B,CCNA1
KDM4B,CCND1
KDM4B,ESR1
KDM4B,WEE1
KHDRBS1,AR
KHDRBS1,IGF2
KHDRBS1,LEP
KLF12,PRL
KLF12,TFAP2A
KLF16,CDKN1A
KLF2,CCR5
KLF2,CCR7
KLF2,CDKN1A
KLF2,CXCR4
KLF2,FABP5
KLF2,NOS3
KLF2,PPARG
KLF2,SELL
KLF2,THBD
KLF2,WEE1
KLF8,CDH1
KLF8,CDH2
KLF8,EPSTI1
KLF8,FN1
KLF8,MMP14
KLF8,MMP9
KLF8,SLC22A3
KLF8,VIM
L3MBTL1,MYC
L3MBTL1,RUNX1
LDB1,BMP7
LDB1,TCF3
LMO2,ANGPT2
LMO2,CDH1
LMO2,ELK1
LMO2,ERG
LMO2,FGF2
LMO2,GYPA
LMO2,LEF1
LMO2,LYL1
LMO2,NFATC1
LMO2,ZEB1
MAL,MMP9
MAL,MYL9
MAML1,EGR1
MAML1,HEY1
MAML1,TNFRSF12A
MAX,BRD7
MAX,FASLG
MAX,MYC
MAX,ODC1
MAX,TERT
MDM4,TP53
MECP2,ABCB1
MECP2,ALOX5
MECP2,CCND1
MECP2,CDKL5
MECP2,DLX5
MECP2,ESR1
MECP2,ESR1
MECP2,GAD1
MECP2,IGFBP3
MECP2,MGMT
MECP2,RELN
MECP2,TFF1
MED15,NCF2
MED23,KISS1
MED23,TXNIP
MEF2C,CDKL5
MEF2C,CPT1B
MEF2C,JUN
MEF2C,JUN
MEF2C,JUN
MEF2C,MAPK7
MEF2C,MECP2
MEF2C,NR4A1
MEF2C,SOST
MEF2C,VEGFA
MEF2D,ATF3
MEF2D,ATM
MEF2D,CD14
MEF2D,HDAC7
MEF2D,JUN
MEF2D,SOST
MLLT3,BAX
MLLT3,CDKN1A
MLLT3,MDM2
MLLT3,SCNN1A
MSX1,CGA
MSX1,DKK1
MSX1,DLK1
MSX1,HEY1
MSX1,NOTCH3
MSX1,ZHX2
MTA1,ALOX15
MTA1,ARNTL
MTA1,BCAS3
MTA1,BCL2L1
MTA1,BRCA1
MTA1,CDH1
MTA1,CDKN2A
MTA1,EGFR
MTA1,EPHA2
MTA1,ESR1
MTA1,ESR1
MTA1,HDAC1
MTA1,ITGB3BP
MTA1,MMP9
MTA1,MNAT1
MTA1,MTA3
MTA1,MYC
MTA1,NOS2
MTA1,PTEN
MTA1,RNF144A
MTA1,SMAD7
MTA1,SNAI1
MTA1,SNAI2
MTA1,SUMO2
MTA1,TFF1
MTA2,CDH1
MTA2,FSHR
MTF1,ACO1
MTF1,GCLC
MTF1,MCAT
MTF1,PGF
MTF1,PRNP
MTF1,SNCB
MTF1,SOD1
MXD4,ODC1
MZF1,PADI1
MYCN,ABCB1
MYCN,ABCC1
MYCN,ABCC1
MYCN,BAX
MYCN,BIRC5
MYCN,BMI1
MYCN,CD44
MYCN,CDKN1A
MYCN,CDKN1B
MYCN,CIITA
MYCN,CLU
